"eai:appName","eai:data",title,updated,"#",examples
devicecontrol,"/opt/splunk/etc/apps/devicecontrol/lookups/DcUsbInterface.csv","DcUsbInterface.csv","1970-01-01T00:00:00+00:00",,
devicecontrol,"/opt/splunk/etc/apps/devicecontrol/lookups/DcUsbInterfaceDescriptor.csv","DcUsbInterfaceDescriptor.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/detect_patterns.csv","detect_patterns.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/detection_name_cleaned.csv","detection_name_cleaned.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/errorevent_lin.csv","errorevent_lin.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/firmware_hashes_by_vendor.csv","firmware_hashes_by_vendor.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/firmware_vulnerability_descriptions.csv","firmware_vulnerability_descriptions.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/forescout_apps.csv","forescout_apps.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/geo_attr_countries.csv","geo_attr_countries.csv","1970-01-01T00:00:00+00:00",,
search,"/opt/splunk/etc/apps/search/lookups/geo_attr_countries.csv","geo_attr_countries.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/geo_attr_us_states.csv","geo_attr_us_states.csv","1970-01-01T00:00:00+00:00",,
search,"/opt/splunk/etc/apps/search/lookups/geo_attr_us_states.csv","geo_attr_us_states.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/geo_countries.kmz","geo_countries.kmz","1970-01-01T00:00:00+00:00",,
search,"/opt/splunk/etc/apps/search/lookups/geo_countries.kmz","geo_countries.kmz","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/geo_us_states.kmz","geo_us_states.kmz","1970-01-01T00:00:00+00:00",,
search,"/opt/splunk/etc/apps/search/lookups/geo_us_states.kmz","geo_us_states.kmz","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/group_info.csv","group_info.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/grouprid_wingroup.csv","grouprid_wingroup.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/hot.csv","hot.csv","1970-01-01T00:00:00+00:00",,
search,"/opt/splunk/etc/apps/search/lookups/invalid_cid_audit.csv","invalid_cid_audit.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/kbinfo.csv","kbinfo.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/kbsha256.csv","kbsha256.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/kbsupercedence.csv","kbsupercedence.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/logoninfo.csv","logoninfo.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/LogonType.csv","LogonType.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/mac_osverinfo.csv","mac_osverinfo.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/macprefix.csv","macprefix.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/managedassets.csv","managedassets.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/mitre_obj_tactic.csv","mitre_obj_tactic.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/neighbors.csv","neighbors.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/not_recon_apps.csv","not_recon_apps.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/notmanaged.csv","notmanaged.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/notsupported.csv","notsupported.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/oui.csv","oui.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/oui.csv.dpkg-dist","oui.csv.dpkg-dist","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/patterndisposition.csv","patterndisposition.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/policy_info.csv","policy_info.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/PolicyTag.csv","PolicyTag.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/ProductType.csv","ProductType.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/recon_apps.csv","recon_apps.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/RegOperation.csv","RegOperation.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/sensors_support_info.csv","sensors_support_info.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/server_workstation.csv","server_workstation.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/servers.csv","servers.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/sid_list.csv","sid_list.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/spectremeltdown.csv","spectremeltdown.csv","1970-01-01T00:00:00+00:00",,
spotlight,"/opt/splunk/etc/apps/spotlight/lookups/spotlight_cvehash.csv","spotlight_cvehash.csv","1970-01-01T00:00:00+00:00",,
spotlight,"/opt/splunk/etc/apps/spotlight/lookups/spotlight_cveidseveritycount.csv","spotlight_cveidseveritycount.csv","1970-01-01T00:00:00+00:00",,
spotlight,"/opt/splunk/etc/apps/spotlight/lookups/spotlight_hostswithnomissingkbs.csv","spotlight_hostswithnomissingkbs.csv","1970-01-01T00:00:00+00:00",,
spotlight,"/opt/splunk/etc/apps/spotlight/lookups/spotlight_installedkbhash.csv","spotlight_installedkbhash.csv","1970-01-01T00:00:00+00:00",,
spotlight,"/opt/splunk/etc/apps/spotlight/lookups/spotlight_kbidseveritycount.csv","spotlight_kbidseveritycount.csv","1970-01-01T00:00:00+00:00",,
spotlight,"/opt/splunk/etc/apps/spotlight/lookups/spotlight_main.csv","spotlight_main.csv","1970-01-01T00:00:00+00:00",,
spotlight,"/opt/splunk/etc/apps/spotlight/lookups/spotlight_missingkbhash.csv","spotlight_missingkbhash.csv","1970-01-01T00:00:00+00:00",,
spotlight,"/opt/splunk/etc/apps/spotlight/lookups/spotlight_oshash.csv","spotlight_oshash.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/term_server_ips.csv","term_server_ips.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/uid_userprincipal_mac.csv","uid_userprincipal_mac.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/uid_userprincipal_mac.csv.dpkg-dist","uid_userprincipal_mac.csv.dpkg-dist","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/unmanageable.csv","unmanageable.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/unmanaged.csv","unmanaged.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/unmanaged_high.csv","unmanaged_high.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/unmanaged_low.csv","unmanaged_low.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/unmanaged_med.csv","unmanaged_med.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/userinfo.csv","userinfo.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/usersid_username.csv","usersid_username.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/usersid_username_win.csv","usersid_username_win.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/usersid_username_win.csv.dpkg-dist","usersid_username_win.csv.dpkg-dist","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/vendorid.csv","vendorid.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/version_osxversion.csv","version_osxversion.csv","1970-01-01T00:00:00+00:00",,
eam2,"/opt/splunk/etc/apps/eam2/lookups/version_winosversion.csv","version_winosversion.csv","1970-01-01T00:00:00+00:00",,
